"last_name, first_name","player_id","year","r_total_caught_stealing","r_total_stolen_base","r_caught_stealing_2b","r_pickoff_1b","r_stolen_base_2b","r_stolen_base_pct","r_total_pickoff","rel_league_reaction_distance","rel_league_burst_distance","f_bootup_distance","n_bolts","hp_to_1b","sprint_speed"
"McCutchen, Andrew","457705","2024","2","3","0","0","2",,"0",,,,,"4.56","26.8"
"O'Hoppe, Logan","681351","2024","3","2","3","0","2",,"0",,,,,"4.46","28.1"
"Ortiz, Joey","687401","2024","6","9","5","0","9",,"0",,,,"5","4.27","28.6"
"Walker, Christian","572233","2024","2","2","2","2","2",,"2",,,,,"4.7","26.2"
"Busch, Michael","683737","2024","1","2","1","0","2",,"0",,,,,"4.47","27.3"
"Arraez, Luis","650333","2024","3","9","3","0","7",,"0",,,,,"4.49","26.6"
"Sánchez, Jesús","660821","2024","2","14","2","0","14",,"0","1.3","0.4","35.3",,"4.42","27.2"
"Varsho, Daulton","662139","2024","2","10","2","1","8",,"1","1.5","2.1","37.8","1","4.24","28.5"
"Greene, Riley","682985","2024","2","4","2","1","4",,"1","2.1","0.7","34.9",,"4.38","27.7"
"Suzuki, Seiya","673548","2024","6","15","3","1","14",,"2","1.1","1.3","35.9","3","4.33","28.3"
"Cruz, Oneil","665833","2024","1","22","0","2","21",,"2","1.6","2","39.3","30","4.27","28.8"
"France, Ty","664034","2024","1","1","1","0","0",,"0",,,,,"4.87","25.1"
"Taveras, Leody","665750","2024","6","19","6","2","18",,"2","1.5","1.1","36.2","17","4.3","28.5"
"Burger, Jake","669394","2024","1","1","1","0","1",,"0",,,,,"4.42","27.9"
"Mountcastle, Ryan","663624","2024","0","3","0","0","3",,"0",,,,"1","4.47","27.6"
"Schwarber, Kyle","656941","2024","3","5","3","1","4",,"2",,,,,"4.6","25.7"
"Langford, Wyatt","694671","2024","3","15","3","1","14",,"1","0.9","1.6","35.4","59","4.24","29.8"
"Young, Jacob","696285","2024","9","32","8","5","21",,"5","4.7","1.8","38.7","67","4.2","29.7"
"Smith, Will","669257","2024","1","0","1","0","0",,"0",,,,,"4.45","27.3"
"Morel, Christopher","666624","2024","7","8","7","1","6",,"1",,,,"1","4.52","27.4"
"Benintendi, Andrew","643217","2024","2","3","2","0","3",,"0","0.2","-1.2","32.3",,"4.46","26.7"
"Rodgers, Brendan","663898","2024","0","1","0","0","1",,"0",,,,,"4.71","26.0"
"Swanson, Dansby","621020","2024","3","17","3","0","15",,"0",,,,"2","4.37","27.8"
"McMahon, Ryan","641857","2024","6","4","6","2","3",,"2",,,,,"4.65","25.9"
"Turner, Trea","607208","2024","1","15","0","0","13",,"1",,,,"67","4.23","29.5"
"Rodríguez, Julio","677594","2024","5","22","5","3","20",,"3","-0.4","1.6","36","53","4.28","29.6"
"Happ, Ian","664023","2024","2","13","1","0","11",,"0","0.7","-0.4","33.5",,"4.33","27.9"
"De La Cruz, Elly","682829","2024","16","64","11","5","43",,"6",,,,"75","4.2","30.0"
"Rafaela, Ceddanne","678882","2024","8","19","8","1","16",,"1","2.4","1.6","37.3","2","4.17","28.8"
"Marte, Ketel","606466","2024","1","6","0","0","6",,"1",,,,"2","4.39","27.1"
"Castro, Willi","650489","2024","8","13","4","2","12",,"3","0.6","0.3","35.1",,"4.31","27.9"
"Chourio, Jackson","694192","2024","7","20","5","2","19",,"2","1.6","-0.4","34.3","78","4.19","29.7"
"Seager, Corey","608369","2024","1","1","0","0","1",,"0",,,,,"4.76","25.3"
"García, Adolis","666969","2024","5","11","3","1","10",,"1","0.2","-0.7","33.4",,"4.47","26.8"
"Chisholm Jr., Jazz","665862","2024","10","36","10","4","26",,"4","0.5","0.3","35.3","18","4.14","28.6"
"Vierling, Matt","663837","2024","1","6","1","1","6",,"1","-0.7","0.3","34.5","3","4.44","28.8"
"García, Luis","671277","2024","4","21","4","1","18",,"1",,,,,"4.27","27.2"
"Ward, Taylor","621493","2024","3","4","3","2","4",,"2","0.8","0.6","35.6",,"4.57","26.7"
"Harper, Bryce","547180","2024","4","5","2","1","4",,"1",,,,,"4.41","27.4"
"Gurriel Jr., Lourdes","666971","2024","1","7","1","0","7",,"0","1.1","0.6","35.1",,"4.6","26.6"
"Bellinger, Cody","641355","2024","2","9","1","1","8",,"2","0.5","0.9","35.4","1","4.11","28.4"
"Chapman, Matt","656305","2024","2","15","1","0","12",,"0",,,,"1","4.39","28.7"
"Schanuel, Nolan","694384","2024","1","8","1","1","7",,"1",,,,,"4.48","26.4"
"Abrams, CJ","682928","2024","12","29","10","6","23",,"7",,,,"7","4.26","28.5"
"Adames, Willy","642715","2024","4","18","2","0","18",,"1",,,,,"4.39","27.4"
"Freeman, Freddie","518692","2024","2","7","2","0","7",,"0",,,,,"4.64","25.7"
"Steer, Spencer","668715","2024","3","25","3","3","21",,"3","-0.1","-1.2","32.4",,"4.44","28.2"
"Torres, Gleyber","650402","2024","3","4","3","2","4",,"2",,,,,"4.55","26.7"
"Turang, Brice","668930","2024","6","43","4","0","35",,"1",,,,"37","4.2","29.3"
"Kwan, Steven","680757","2024","5","12","4","1","11",,"1","0.1","1.4","35.6",,"4.33","27.1"
"Naylor, Josh","647304","2024","2","6","1","0","5",,"0",,,,,"4.68","25.3"
"Contreras, William","661388","2024","2","6","1","1","5",,"1",,,,,"4.52","26.4"
"Castellanos, Nick","592206","2024","2","6","2","1","6",,"2","-0.6","-2","30.3",,"4.5","27.4"
"Cronenworth, Jake","630105","2024","2","5","2","1","4",,"1",,,,,"4.4","27.7"
"Reynolds, Bryan","668804","2024","2","10","2","1","10",,"1","-1.3","-0.5","32.6",,"4.37","28.0"
"Alvarez, Yordan","670541","2024","0","6","0","0","5",,"0","-1.3","-3.5","28.2",,"4.59","26.1"
"Winn, Masyn","691026","2024","5","11","5","0","10",,"0",,,,"23","4.22","28.7"
"Burleson, Alec","676475","2024","3","9","3","0","8",,"0","-1.1","-2.8","30.8",,"4.59","25.5"
"Diaz, Yainer","673237","2024","0","2","0","0","2",,"0",,,,,"4.42","27.1"
"Verdugo, Alex","657077","2024","1","1","1","0","1",,"0","0.8","0.1","33.3",,"4.39","26.5"
"Volpe, Anthony","683011","2024","5","26","4","0","15",,"0",,,,,"4.3","28.6"
"Garcia, Maikel","672580","2024","2","36","2","0","22",,"0",,,,"4","4.45","27.9"
"Giménez, Andrés","665926","2024","5","29","5","1","26",,"1",,,,"9","4.26","28.9"
"Donovan, Brendan","680977","2024","5","4","4","0","4",,"0","0.6","-0.4","34.3",,"4.36","27.0"
"Hoerner, Nico","663538","2024","5","29","5","2","21",,"2",,,,"2","4.32","28.4"
"Duran, Jarren","680776","2024","7","32","6","2","28",,"2","1.4","0.6","35.3","59","4.13","29.6"
"Lindor, Francisco","596019","2024","4","27","4","1","22",,"1",,,,,"4.45","27.6"
"Guerrero Jr., Vladimir","665489","2024","2","2","1","1","2",,"1",,,,,"4.6","27.1"
"Semien, Marcus","543760","2024","3","6","2","0","6",,"0",,,,"2","4.41","28.5"
"Ramírez, José","608070","2024","7","39","5","1","33",,"1",,,,"2","4.34","28.1"
"Witt Jr., Bobby","677951","2024","12","28","10","7","26",,"7",,,,"138","4.11","30.5"
"Martinez, J.D.","502110","2024","0","0","0","0","0",,"0",,,,,"4.75","25.8"
"DeJong, Paul","657557","2024","2","2","2","0","2",,"0",,,,,"4.59","26.8"
"Hoskins, Rhys","656555","2024","0","3","0","0","3",,"0",,,,,"4.77","25.3"
"Gelof, Zack","680869","2024","3","23","3","1","22",,"1",,,,"11","4.35","28.7"
"Cowser, Colton","681297","2024","4","8","4","1","8",,"1","-0.4","0.6","33.8","1","4.23","28.3"
"Riley, Austin","663586","2024","0","0","0","0","0",,"0",,,,,"4.51","27.9"
"Ramos, Heliot","671218","2024","1","6","1","0","6",,"0","-0.1","-0.7","32.6","1","4.44","27.9"
"Thomas, Lane","657041","2024","14","32","12","0","27",,"0","-0.1","-0.6","33.2","25","4.38","29.2"
"Stephenson, Tyler","663886","2024","0","1","0","0","1",,"0",,,,,"4.64","26.5"
"Winker, Jesse","608385","2024","4","14","4","2","12",,"2","-1.4","-2.4","30.1",,"4.62","26.0"
"Langeliers, Shea","669127","2024","2","4","2","0","4",,"0",,,,,"4.58","27.8"
"Soler, Jorge","624585","2024","0","1","0","0","1",,"0","-0.1","-3.3","30.2",,"4.69","26.9"
"Meyers, Jake","676694","2024","3","10","3","0","10",,"0","0.7","1.6","37.4","2","4.36","28.9"
"Sheets, Gavin","657757","2024","2","1","1","0","1",,"0","-0.7","-2.4","31.3",,"4.51","26.6"
"Lowe, Nathaniel","663993","2024","0","2","0","0","2",,"0",,,,,"4.47","26.4"
"Kim, Ha-Seong","673490","2024","5","22","3","1","19",,"2",,,,"1","4.36","28.3"
"Raleigh, Cal","663728","2024","1","6","1","0","6",,"0",,,,,"4.55","26.5"
"Turner, Justin","457759","2024","2","0","2","0","0",,"0",,,,,"4.82","25.4"
"Rooker Jr., Brent","667670","2024","2","10","2","0","10",,"0","0.1","-1.3","31.7",,"4.53","27.6"
"Betts, Mookie","605141","2024","1","14","1","1","14",,"1","-0.5","-0.8","31.8",,"4.48","26.9"
"Arozarena, Randy","668227","2024","9","20","8","4","18",,"4","-0.3","-1.4","31.9","4","4.33","28.0"
"McNeil, Jeff","643446","2024","1","5","1","1","2",,"1","-0.3","-0.5","34.1",,"4.26","26.3"
"Judge, Aaron","592450","2024","0","9","0","0","7",,"0","-1.2","-2.3","30.8",,"4.78","26.7"
"Smith, Josh","669701","2024","2","9","2","0","8",,"0",,,,"5","4.39","27.7"
"Frelick, Sal","686217","2024","3","17","2","2","15",,"2","0.5","0.4","34.5","57","4.13","29.2"
"Hernández, Teoscar","606192","2024","3","11","3","2","11",,"2","-0.9","-0.6","32.6","4","4.36","28.6"
"Suárez, Eugenio","553993","2024","1","2","1","1","2",,"1",,,,,"4.67","26.5"
"Devers, Rafael","646240","2024","0","3","0","0","3",,"0",,,,,"4.46","26.5"
"Nimmo, Brandon","607043","2024","0","13","0","0","12",,"0","-0.8","-0.5","32.6","5","4.28","28.0"
"Doyle, Brenton","686668","2024","5","27","5","3","25",,"3","-1.1","0.9","34.9","33","4.34","29.3"
"Neto, Zach","687263","2024","8","29","7","3","24",,"3",,,,"1","4.36","28.2"
"India, Jonathan","663697","2024","1","13","1","0","13",,"1",,,,"4","4.41","27.9"
"Keith, Colt","690993","2024","1","7","1","0","7",,"1",,,,,"4.31","27.8"
"Santana, Carlos","467793","2024","0","4","0","0","4",,"0",,,,,"4.64","25.9"
"Stott, Bryson","681082","2024","3","29","3","1","29",,"2",,,,"16","4.18","29.0"
"Goldschmidt, Paul","502671","2024","0","9","0","0","6",,"0",,,,,"4.58","26.3"
"De La Cruz, Bryan","650559","2024","1","4","1","0","3",,"0","0.3","-1.3","32.3",,"4.54","27.5"
"Arcia, Orlando","606115","2024","0","2","0","0","2",,"0",,,,,"4.72","25.6"
"Olson, Matt","621566","2024","0","0","0","0","0",,"0",,,,,"4.73","25.5"
"Springer III, George","543807","2024","1","15","0","0","14",,"0","-0.1","-1.2","32.3","1","4.45","28.1"
"Ozuna, Marcell","542303","2024","0","0","0","0","0",,"0",,,,,"4.84","25.7"
"Vaughn, Andrew","683734","2024","0","2","0","0","2",,"0",,,,,"4.67","26.4"
"Alonso, Pete","624413","2024","0","3","0","0","3",,"0",,,,,"4.64","26.1"
"Bell, Josh","605137","2024","1","0","1","0","0",,"0",,,,,"4.76","25.4"
"Paredes, Isaac","670623","2024","1","0","1","0","0",,"0",,,,,"4.8","25.9"
"Bleday, JJ","668709","2024","3","1","3","1","1",,"1","-0.1","0.2","34.9",,"4.39","27.6"
"Merrill, Jackson","701538","2024","3","16","3","2","16",,"2","1.5","0.8","35.6",,"4.25","28.4"
"Perez, Salvador","521692","2024","0","0","0","0","0",,"0",,,,,"4.92","24.6"
"Tovar, Ezequiel","678662","2024","5","6","5","3","5",,"3",,,,,"4.37","28.1"
"Soto, Juan","665742","2024","4","5","3","0","5",,"0","1.2","0.2","34.1",,"4.37","26.7"
"Ohtani, Shohei","660271","2024","4","48","3","1","40",,"2",,,,"2","4.16","28.1"
"Santander, Anthony","623993","2024","0","2","0","1","2",,"1","-0.9","-1","32.2",,"4.7","26.1"
"Pasquantino, Vinnie","686469","2024","0","1","0","0","1",,"0",,,,,"4.67","25.6"
"Carroll, Corbin","682998","2024","6","28","3","0","24",,"1","2","0.9","34.7","80","4.09","29.5"
"Rutschman, Adley","668939","2024","0","1","0","0","1",,"0",,,,,"4.55","26.6"
"Profar, Jurickson","595777","2024","2","9","2","2","7",,"3","0","-2","30.5",,"4.43","26.5"
"Henderson, Gunnar","683002","2024","3","19","2","1","15",,"3",,,,"15","4.22","28.8"
"Bohm, Alec","664761","2024","2","5","1","1","5",,"1",,,,,"4.71","26.2"
"Machado, Manny","592518","2024","1","9","1","1","8",,"1",,,,,"4.72","25.8"
"Díaz, Yandy","650490","2024","0","0","0","1","0",,"1",,,,,"4.62","25.4"
"Bregman, Alex","608324","2024","0","3","0","0","2",,"0",,,,,"4.55","26.7"
"Arenado, Nolan","571448","2024","1","2","1","0","2",,"0",,,,,"4.71","25.4"
"Peña, Jeremy","665161","2024","6","17","6","3","17",,"3",,,,"96","4.22","29.8"
"Altuve, Jose","514888","2024","7","21","6","3","14",,"3",,,,"27","4.32","27.2"