"catcher","player_id","team_id","age","maxeff_arm_2b_3b_sba","exchange_2b_3b_sba","pop_2b_sba_count","pop_2b_sba","pop_2b_cs","pop_2b_sb","pop_3b_sba_count","pop_3b_sba","pop_3b_cs","pop_3b_sb"
"Bailey, Patrick",,137,"25","84.6","0.6","57","1.85","1.83","1.86","2","1.4","1.42","1.37"
"Haase, Eric",,158,"31","83.5","0.65","9","1.95","1.84","1.96","0",,,
"Lee, Korey",,145,"25","88.3","0.64","46","1.85","1.85","1.85","2","1.49","1.56","1.42"
"Realmuto, J.T.",,143,"33","85.1","0.65","37","1.85","1.85","1.84","4","1.42","1.41","1.45"
"Fermin, Freddy",,118,"29","84.3","0.64","22","1.88","1.85","1.92","2","1.54",,"1.54"
"Jackson, Alex",,139,"28","85","0.66","26","1.96","1.86","1.99","2","1.39",,"1.39"
"Davis, Henry",,134,"24","86.7","0.65","10","1.87","1.87","1.87","2","1.44",,"1.44"
"Rortvedt, Ben",,139,"26","86.4","0.69","47","1.92","1.87","1.93","2","1.57",,"1.57"
"Jeffers, Ryan",,142,"27","83.9","0.65","38","1.94","1.88","1.96","2","1.48",,"1.48"
"Torrens, Luis",,121,"28","84.8","0.61","18","1.87","1.88","1.86","1","1.37",,"1.37"
"Stubbs, Garrett",,143,"31","85.4","0.65","21","1.88","1.88","1.88","5","1.52",,"1.52"
"Alvarez, Francisco",,121,"22","84.2","0.63","35","1.91","1.88","1.92","2","1.51","1.47","1.54"
"Driscoll, Logan",,139,"26","85.3","0.64","5","1.88","1.89","1.87","2","1.5",,"1.5"
"Díaz, Elias",,135,"33","84.1","0.65","32","1.9","1.89","1.9","4","1.52","1.4","1.63"
"Adams, Riley",,120,"28","85.6","0.68","17","1.97","1.89","1.98","0",,,
"Tromp, Chadwick",,144,"29","80.7","0.59","9","1.92","1.89","1.94","1","1.51","1.51",
"Fortes, Nick",,146,"27","82.3","0.62","60","1.93","1.89","1.95","1","1.51",,"1.51"
"Moreno, Gabriel",,109,"24","83.5","0.62","26","1.89","1.9","1.88","7","1.48","1.47","1.49"
"Langeliers, Shea",,133,"26","86.4","0.65","67","1.91","1.9","1.91","5","1.45","1.48","1.44"
"Nido, Tomás",,112,"30","78.5","0.57","27","1.93","1.9","1.95","1","1.57",,"1.57"
"Marchán, Rafael",,143,"25","85.9","0.65","6","1.87","1.9","1.84","2","1.51",,"1.51"
"Bethancourt, Christian",,112,"32","88.2","0.69","29","1.9","1.9","1.91","1","1.48","1.48",
"Dingler, Dillon",,116,"25","87.5","0.69","8","1.94","1.91","1.95","2","1.6",,"1.6"
"Sánchez, Gary",,158,"31","86.9","0.65","20","1.96","1.91","1.98","2","1.49",,"1.49"
"Rogers, Jake",,116,"29","80.3","0.58","28","1.91","1.91","1.92","1","1.42",,"1.42"
"Diaz, Yainer",,117,"25","86.9","0.73","72","1.96","1.91","1.98","3","1.49","1.46","1.5"
"Millas, Drew",,120,"26","85.6","0.72","11","1.94","1.92","1.95","1","1.54",,"1.54"
"Smith, Will",,119,"29","82.7","0.62","55","1.94","1.92","1.96","3","1.49","1.49",
"Wong, Connor",,111,"28","84.8","0.65","45","1.95","1.92","1.96","4","1.55","1.51","1.59"
"Sánchez, Ali",,146,"27","81.4","0.63","18","1.96","1.93","1.97","1","1.42",,"1.42"
"Pagés, Pedro",,138,"25","85","0.66","37","1.93","1.93","1.93","5","1.42","1.41","1.42"
"Maldonado, Martín",,145,"37","85.4","0.69","17","1.97","1.93","1.97","3","1.53","1.5","1.55"
"Stallings, Jacob",,115,"34","81.1","0.69","42","1.95","1.94","1.96","4","1.53","1.45","1.56"
"Bart, Joey",,134,"27","84.4","0.69","31","1.99","1.94","2.01","5","1.51","1.48","1.53"
"Contreras, William",,158,"26","82.4","0.64","57","1.97","1.95","1.97","5","1.54","1.61","1.49"
"Serven, Brian",,141,"29","81.8","0.67","7","1.98","1.95","2","2","1.52",,"1.52"
"d'Arnaud, Travis",,144,"35","82.3","0.67","36","1.97","1.95","1.98","2","1.65",,"1.65"
"Contreras, Willson",,138,"32","86.3","0.71","29","1.97","1.95","1.98","1","1.74",,"1.74"
"Thaiss, Matt",,108,"29","84.5","0.71","12","2","1.96","2.01","1","1.5",,"1.5"
"Raleigh, Cal",,136,"27","84.4","0.66","70","1.95","1.96","1.95","6","1.47","1.49","1.45"
"Casali, Curt",,137,"35","77.5","0.6","30","2","1.96","2.01","5","1.54","1.48","1.56"
"Hedges, Austin",,114,"31","82","0.63","19","1.94","1.96","1.93","1","1.46",,"1.46"
"Vázquez, Christian",,142,"33","79.5","0.6","32","1.96","1.96","1.96","1","1.47",,"1.47"
"Jansen, Danny",,111,"29","78.9","0.64","38","1.99","1.97","1.99","1","1.46","1.46",
"O'Hoppe, Logan",,108,"24","83.7","0.72","59","2.02","1.97","2.03","8","1.58","1.65","1.54"
"Robinson, Chuckie",,145,"29","84.6","0.69","15","1.97","1.97","1.97","4","1.52","1.43","1.55"
"Zavala, Seby",,136,"30","82.3","0.62","10","1.97","1.97","1.97","1","1.46",,"1.46"
"Kelly, Carson",,140,"29","81.6","0.65","51","1.97","1.97","1.97","3","1.47","1.54","1.43"
"Wells, Austin",,147,"24","81.3","0.67","41","1.98","1.97","1.98","5","1.64","1.95","1.57"
"Wynns, Austin",,113,"33","77","0.57","8","1.96","1.97","1.96","0",,,
"McCann, James",,110,"34","81.6","0.64","37","1.98","1.97","1.99","3","1.52","1.53","1.51"
"Murphy, Sean",,144,"29","84.8","0.69","39","1.95","1.97","1.94","6","1.53","1.5","1.54"
"Kirk, Alejandro",,141,"25","79.8","0.64","55","2","1.98","2.01","6","1.53","1.5","1.55"
"Heim, Jonah",,140,"29","83.5","0.68","69","1.97","1.98","1.97","6","1.54","1.5","1.55"
"Rutschman, Adley",,110,"26","84.5","0.69","55","1.96","1.98","1.95","4","1.51","1.52","1.5"
"McGuire, Reese",,111,"29","78","0.6","16","1.98","1.98","1.98","1","2.11",,"2.11"
"Barnhart, Tucker",,109,"33","76.7","0.6","8","2","1.99","2","0",,,
"Romo, Drew",,115,"22","83.1","0.65","11","1.94","1.99","1.94","1","1.45","1.45",
"Gomes, Yan",,112,"36","75.2","0.55","12","1.98","1.99","1.98","2","1.64",,"1.64"
"Campusano, Luis",,135,"25","82.4","0.68","25","1.97","1.99","1.96","1","1.55",,"1.55"
"Caratini, Victor",,117,"30","80.4","0.66","34","2.02","1.99","2.04","1","1.61",,"1.61"
"Goodman, Hunter",,115,"24","81.2","0.7","12","1.97","2","1.97","0",,,
"Maile, Luke",,113,"33","82.2","0.65","26","1.97","2","1.96","1","1.67",,"1.67"
"Naylor, Bo",,114,"24","82","0.64","38","1.97","2","1.95","2","1.49",,"1.49"
"Higashioka, Kyle",,135,"34","76.3","0.62","42","2.03","2.01","2.03","1","1.46",,"1.46"
"Narváez, Omar",,121,"32","78.2","0.64","18","2.04","2.01","2.04","3","1.57",,"1.57"
"Stephenson, Tyler",,113,"27","82.1","0.7","61","2.03","2.02","2.03","4","1.55",,"1.55"
"Garver, Mitch",,136,"33","79.3","0.67","16","2.02","2.02","2.02","0",,,
"Knizner, Andrew",,140,"29","79.8","0.69","17","2.03","2.02","2.03","0",,,
"Grandal, Yasmani",,134,"35","78","0.71","30","2.09","2.02","2.09","2","1.59","1.6","1.58"
"Perez, Salvador",,118,"34","80.4","0.63","23","2.01","2.03","2","3","1.53","1.43","1.57"
"Herrera, Iván",,138,"24","81","0.67","28","1.99","2.04","1.99","2","1.68",,"1.68"
"McCann, Kyle",,133,"26","79.6","0.69","18","2","2.05","1.99","1","1.58",,"1.58"
"Trevino, Jose",,147,"31","76.5","0.65","43","2.07","2.05","2.07","5","1.64","1.63","1.64"
"Ruiz, Keibert",,120,"25","78.7","0.68","56","2.07","2.06","2.07","6","1.59","1.58","1.59"
"Amaya, Miguel",,112,"25","80.5","0.7","49","2.04","2.09","2.03","2","1.57","1.64","1.49"
"Barnes, Austin",,119,"34","75.9","0.58","27","2","2.09","1.99","2","1.49","1.46","1.52"
"Del Castillo, Adrian",,109,"24","76.9","0.69","13","2.04","2.18","2.02","1","1.6",,"1.6"
"Sabol, Blake",,137,"26","82.8","0.73","5","1.99",,"1.99","0",,,
"Herrera, Jose",,109,"27","81.5","0.64","10","1.93",,"1.93","0",,,
"Pinto, René",,139,"27","83","0.62","8","1.94",,"1.94","1","1.56",,"1.56"
"Fry, David",,114,"28","82.5","0.68","6","1.99",,"1.99","0",,,